IP,City,Region,Country,Longitude,Latitude,PageViewTime
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:56:28
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:56:34
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:56:42
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:56:47
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:56:53
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:57:10
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:57:18
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:6:20
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:8:38
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:10:4
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:12:12
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:18:44
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:20:39
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:21:43
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:22:9
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:22:23
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 22:22:35
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:4:45
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:5:30
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:9:2
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:10:12
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:15:51
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:16:17
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:17:41
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:21:59
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:22:35
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:23:6
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 0:25:2
192.168.0.101,,,,,7/2/2014 at 3:7:19
192.168.0.101,,,,,7/2/2014 at 3:7:31
192.168.0.101,,,,,7/2/2014 at 3:10:29
90.132.49.158,,,SE,62.0000,15.0000,7/2/2014 at 10:13:2
80.244.82.213,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 10:15:32
80.244.82.213,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 10:15:49
90.132.49.158,,,SE,62.0000,15.0000,7/2/2014 at 10:46:43
